代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,19.46,0.27,1.407,19.46,19.54,19.19,19.09,19.7,18.72,1496178.0,28994487.0,11:34:59
bj920001,纬达光电,20.22,0.09,0.447,20.2,20.23,20.13,19.94,20.61,19.5,1616701.0,32525373.0,11:34:59
bj920002,万达轴承,109.87,3.97,3.749,109.87,109.88,105.9,106.29,111.97,104.97,1699101.0,184610654.0,11:34:59
bj920003,中诚咨询,33.99,0.09,0.265,33.99,34.13,33.9,33.9,34.49,33.56,1060873.0,35993845.0,11:34:59
bj920005,鼎佳精密,42.49,-0.18,-0.422,42.55,42.74,42.67,42.55,43.08,41.91,437069.0,18565460.0,11:34:59
bj920006,晟楠科技,26.94,0.29,1.088,26.93,26.94,26.65,26.37,27.45,26.37,1594188.0,43097993.0,11:34:59
bj920007,酉立智能,71.65,0.2,0.28,71.65,71.84,71.45,71.78,72.29,71.02,184177.0,13209535.0,11:34:59
bj920008,成电光信,31.78,1.03,3.35,31.83,32.0,30.75,31.0,32.53,30.7,2246783.0,71589030.0,11:34:59
bj920009,丹娜生物,81.4,-0.9,-1.094,81.36,81.4,82.3,81.85,82.5,80.02,512236.0,41553950.0,11:34:59
bj920010,凯添燃气,12.08,0.18,1.513,12.06,12.08,11.9,12.01,12.28,11.92,4310366.0,52178440.0,11:34:59
bj920014,特瑞斯,12.09,0.11,0.918,12.09,12.14,11.98,12.07,12.28,11.97,476071.0,5774296.0,11:34:59
bj920015,锦华新材,52.35,2.34,4.679,52.35,52.36,50.01,49.1,52.78,49.1,3681829.0,188736421.0,11:34:59
bj920016,中草香料,20.04,0.14,0.704,20.04,20.15,19.9,19.92,20.33,19.62,893851.0,17907712.0,11:34:59
bj920017,星昊医药,18.78,0.01,0.053,18.78,18.84,18.77,18.71,18.98,18.46,1613915.0,30291258.0,11:34:59
bj920018,宏远股份,28.45,0.62,2.228,28.45,28.5,27.83,27.63,28.58,27.39,1953271.0,55028112.0,11:34:59
bj920019,铜冠矿建,19.84,0.09,0.456,19.84,19.85,19.75,19.91,20.04,19.5,1668678.0,33027417.0,11:34:59
bj920020,泰凯英,17.56,0.04,0.228,17.56,17.57,17.52,17.53,17.83,17.21,2207923.0,38658594.0,11:34:59
bj920021,流金科技,6.68,0.13,1.985,6.68,6.7,6.55,6.51,6.78,6.49,7191310.0,47928258.0,11:34:59
bj920022,世昌股份,31.28,-0.47,-1.48,31.25,31.28,31.75,32.18,33.2,31.01,2309475.0,74049475.0,11:34:59
bj920023,田野股份,4.43,-0.02,-0.449,4.42,4.43,4.45,4.39,4.54,4.36,9137889.0,40662409.0,11:34:59
