序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920857,泓禧科技,37.66,30.0,8.69,49200.0,173039557.59,23.02,37.66,30.99,30.99,28.97,5.08,6.65,-245.09,7.5,2787109344.0,2787109344.0,0.0,0.0,66.42,167.85
2,920665,科强股份,19.95,29.97,4.6,223701.0,418904616.79,32.18,19.95,15.01,15.31,15.35,2.56,34.91,60.69,3.59,2593300500.0,1278229777.0,0.0,0.0,31.86,96.55
3,300118,东方日升,13.37,20.02,2.23,1784783.0,2301166981.11,10.68,13.37,12.18,12.18,11.14,3.0,19.26,-12.25,1.45,15241985348.0,12391664690.0,0.0,0.0,22.66,11.6
4,688720,艾森股份,67.43,20.0,11.24,143946.0,933794120.0,16.87,67.43,57.95,57.95,56.19,4.25,25.53,129.28,5.88,5942830712.0,3801994832.0,0.0,0.0,45.35,70.45
5,300423,昇辉科技,10.26,20.0,1.71,1173841.0,1166031554.12,17.19,10.26,8.79,8.84,8.55,3.52,35.21,591.8,3.79,5104465835.0,3420278556.0,0.0,0.2,38.65,48.27
6,300997,欢乐家,27.74,19.98,4.62,200741.0,530295548.37,14.06,27.74,24.49,24.75,23.12,0.8,5.2,864.62,11.94,12135514197.0,10707841281.0,0.0,0.0,35.32,82.86
7,688031,星环科技-U,88.01,17.27,12.96,190018.0,1612532579.0,23.34,90.06,72.54,73.2,75.05,2.19,20.22,-37.5,11.92,10661171967.0,8270523597.0,0.02,-0.2,52.27,90.79
8,688418,震有科技,41.15,15.79,5.61,292178.0,1172520606.0,17.7,42.65,36.36,36.53,35.54,2.14,15.17,-125.94,9.08,7923623189.0,7923623189.0,-0.02,-0.17,30.63,41.12
9,301306,西测测试,90.4,14.94,11.75,173034.0,1526754263.52,18.16,94.38,80.1,83.33,78.65,1.54,29.68,-53.99,8.34,7629760000.0,5270320000.0,0.08,0.31,66.48,141.91
10,300948,冠中生态,21.56,14.68,2.76,312642.0,659992192.47,18.78,22.56,19.03,19.03,18.8,3.63,20.89,-337.29,3.56,3426276672.0,3227397811.0,1.03,1.65,89.96,129.12
11,920576,天力复合,69.1,13.58,8.26,151541.0,1030160460.89,26.66,76.8,60.58,66.0,60.84,1.41,14.15,251.29,16.79,7528445000.0,7402520891.0,-0.72,-1.27,123.26,236.09
12,688390,固德威,58.45,12.36,6.43,222179.0,1278675118.0,13.28,60.92,54.01,54.8,52.02,4.29,9.14,131.32,5.21,14203143847.0,14203143847.0,-0.02,-0.22,5.58,42.91
13,688270,臻镭科技,105.57,12.07,11.37,342892.0,3450693039.0,12.96,106.88,94.67,95.39,94.2,1.24,16.02,167.86,10.15,22597427412.0,22597427412.0,-0.09,0.04,45.27,201.63
14,688600,皖仪科技,25.4,11.99,2.72,62677.0,152722031.0,12.96,25.47,22.53,23.06,22.68,4.93,4.65,99.61,4.5,3421595646.0,3421595646.0,-0.12,0.71,16.19,90.12
15,920508,殷图网联,25.35,11.28,2.57,52660.0,138255837.03,20.5,27.98,23.31,23.31,22.78,5.32,16.85,-1555.8,7.91,1521000000.0,792060750.0,-0.04,-0.63,-14.13,6.16
16,920274,宏裕包材,31.83,11.02,3.16,77990.0,243847605.14,16.36,33.1,28.41,28.47,28.67,3.52,9.59,128.11,5.31,2588840021.0,2588840021.0,-0.22,-0.06,-17.67,180.19
17,301226,祥明智能,33.55,10.91,3.3,91265.0,290404778.8,15.77,33.97,29.2,29.95,30.25,2.26,8.39,139.8,4.0,3650240000.0,3650240000.0,0.0,-0.33,-3.84,45.11
18,688323,瑞华泰,20.1,10.44,1.9,183755.0,368831657.0,15.44,21.1,18.29,18.3,18.2,1.42,10.21,-43.26,4.78,3618004502.0,3618004502.0,0.25,0.15,27.7,63.55
19,601778,晶科科技,3.71,10.09,0.34,2508415.0,911114858.0,9.2,3.71,3.4,3.42,3.37,4.07,7.02,27.94,0.84,13248387647.0,13248387647.0,0.0,0.0,-12.5,32.97
20,002374,中锐股份,4.04,10.08,0.37,1012209.0,402396691.72,7.63,4.04,3.76,3.76,3.67,0.82,9.33,-34.82,5.2,4384245503.0,4384245503.0,0.0,0.0,36.95,47.45
21,600408,安泰集团,5.03,10.07,0.46,1324538.0,647090408.0,11.38,5.03,4.51,4.51,4.57,0.94,13.16,-24.37,3.73,5064204000.0,5064204000.0,0.0,0.0,109.58,145.37
22,002697,红旗连锁,6.23,10.07,0.57,2054739.0,1256126598.12,10.25,6.23,5.65,5.66,5.66,2.32,17.95,16.61,1.81,8472800000.0,7132742575.0,0.0,0.0,4.88,7.41
23,000007,全新好,11.61,10.05,1.06,345109.0,393914741.29,9.38,11.61,10.62,10.62,10.55,2.43,9.96,882.6,22.02,4022261791.0,4022261791.0,0.0,0.0,53.37,65.15
24,000890,法尔胜,6.46,10.05,0.59,127340.0,82261717.52,0.0,6.46,6.46,6.46,5.87,0.32,3.04,-89.28,-488.9,2709995633.0,2709912157.0,0.0,0.0,56.04,103.79
25,000950,重药控股,6.79,10.05,0.62,2127167.0,1350147291.18,15.72,6.79,5.82,6.05,6.17,2.92,12.31,22.92,1.02,11734374086.0,11734374086.0,0.0,0.0,28.84,26.92
26,002329,皇氏集团,4.16,10.05,0.38,643243.0,262247025.07,11.11,4.16,3.74,3.75,3.78,0.7,9.89,-52.74,3.87,3462800578.0,2705617924.0,0.0,0.0,7.49,14.6
27,002676,顺威股份,8.77,10.04,0.8,307510.0,260352363.24,11.17,8.77,7.88,7.96,7.97,1.96,4.27,80.62,4.84,6314400000.0,6314193545.0,0.0,0.0,-17.11,47.39
28,000620,盈新发展,2.96,10.04,0.27,3674536.0,1054113549.97,13.38,2.96,2.6,2.62,2.69,1.43,7.87,-26.82,3.89,17380572518.0,13828376492.0,0.0,0.0,65.36,35.16
29,605388,均瑶健康,7.89,10.04,0.72,216330.0,167212352.0,10.04,7.89,7.17,7.17,7.17,0.91,3.6,-1500.05,2.76,4737818760.0,4737818760.0,0.0,0.0,-7.93,27.05
30,603871,嘉友国际,14.25,10.04,1.3,273773.0,385289478.0,6.33,14.25,13.43,13.43,12.95,3.51,2.0,16.73,3.38,19494123377.0,19494123377.0,0.0,0.0,15.95,6.82
31,600186,莲花控股,5.81,10.04,0.53,1604746.0,909298371.0,10.42,5.81,5.26,5.27,5.28,6.75,8.97,30.91,5.46,10417952489.0,10394893471.0,0.0,0.0,-4.91,1.93
32,002083,孚日股份,11.3,10.03,1.03,533014.0,591105306.5,7.01,11.3,10.58,10.59,10.27,0.35,5.63,27.11,2.34,10697020836.0,10693478286.0,0.0,0.0,132.03,137.89
33,002413,雷科防务,9.98,10.03,0.91,5760652.0,5475497900.58,18.41,9.98,8.31,8.81,9.07,1.2,44.55,-108.79,3.93,13143556487.0,12904932412.0,0.0,0.0,82.78,128.9
34,601908,京运通,4.28,10.03,0.39,1455395.0,595341570.0,11.31,4.28,3.84,3.84,3.89,1.29,6.03,-34.09,1.17,10334500245.0,10334500245.0,0.0,0.0,2.88,40.33
35,601208,东材科技,21.84,10.03,1.99,932739.0,1930660952.0,13.5,21.84,19.16,19.55,19.85,1.56,9.16,58.94,3.69,22235693495.0,22235693495.0,0.0,0.0,6.43,193.55
36,002639,雪人集团,19.98,10.02,1.82,1261016.0,2507672501.24,4.52,19.98,19.16,19.98,18.16,0.66,19.38,295.61,6.16,15436591516.0,12999373734.0,0.0,0.0,88.14,191.68
37,605339,南侨食品,21.19,10.02,1.93,122996.0,251177969.0,11.27,21.19,19.02,19.03,19.26,1.11,2.9,233.96,2.64,8990718153.0,8990718153.0,0.0,0.0,22.77,25.76
38,000995,皇台酒业,13.5,10.02,1.23,228435.0,307126693.4,4.32,13.5,12.97,12.97,12.27,1.98,12.88,-251.72,16.24,2395008000.0,2395008000.0,0.0,0.0,-9.4,-18.18
39,600192,长城电工,10.76,10.02,0.98,88107.0,94803562.0,0.0,10.76,10.76,10.76,9.78,1.24,1.99,-22.48,4.69,4753208480.0,4753208480.0,0.0,0.0,10.13,86.48
40,600865,百大集团,13.07,10.02,1.19,646299.0,817024203.0,14.06,13.07,11.4,11.59,11.88,2.18,17.18,153.88,2.14,4917460930.0,4917460930.0,0.0,0.0,26.04,12.77
41,002674,兴业科技,13.3,10.01,1.21,115446.0,149189891.0,10.42,13.3,12.04,12.08,12.09,1.13,3.95,74.34,1.64,3930827555.0,3891096572.0,0.0,0.0,-7.12,42.4
42,600879,航天电子,15.82,10.01,1.44,4715431.0,7244239729.0,10.01,15.82,14.38,14.6,14.38,1.22,14.29,187.17,2.51,52194915464.0,52194915464.0,0.0,0.0,52.41,77.55
43,600113,浙江东日,63.76,10.01,5.8,91826.0,572567754.0,9.9,63.76,58.02,58.24,57.96,1.36,2.23,175.31,10.57,26854223842.0,26232850762.0,0.0,0.0,7.76,362.03
44,002300,太阳电缆,11.76,10.01,1.07,118352.0,139182022.56,0.0,11.76,11.76,11.76,10.69,0.07,1.64,74.94,4.49,8494644312.0,8493897646.0,0.0,0.0,83.75,124.86
45,001317,三羊马,47.27,10.01,4.3,87244.0,399483535.64,11.17,47.27,42.47,43.09,42.97,2.22,24.91,-257.21,4.06,4044695271.0,1655307572.0,0.0,0.0,-1.83,70.83
46,600399,抚顺特钢,5.72,10.0,0.52,1614143.0,905852412.0,9.04,5.72,5.25,5.25,5.2,5.92,8.18,-15.4,1.96,11280412000.0,11280412000.0,0.0,0.0,2.88,-1.04
47,600693,东百集团,16.39,10.0,1.49,2418527.0,3847034787.0,9.26,16.39,15.01,15.17,14.9,2.02,27.83,121.44,4.03,14256779972.0,14242136097.0,0.0,0.0,146.84,136.85
48,002382,蓝帆医疗,5.72,10.0,0.52,249718.0,141051004.37,7.88,5.72,5.31,5.31,5.2,3.68,2.5,-15.11,0.75,5760795606.0,5718271696.0,0.0,0.0,-3.05,11.5
49,600151,航天机电,16.94,10.0,1.54,1409664.0,2309561695.0,6.95,16.94,15.87,16.0,15.4,0.48,9.83,-73.84,5.24,24296233742.0,24296233742.0,0.0,0.0,114.97,112.28
50,002053,云南能投,12.21,10.0,1.11,208130.0,246945174.12,9.91,12.21,11.11,11.15,11.1,3.01,2.26,37.16,1.52,11242106755.0,11242027085.0,0.0,0.0,-12.97,10.3
51,600271,航天信息,9.68,10.0,0.88,913322.0,862272155.0,11.93,9.68,8.63,8.8,8.8,1.21,4.93,-29.39,1.33,17935923296.0,17935923296.0,0.0,0.0,13.88,6.26
52,002792,通宇通讯,32.01,10.0,2.91,1012023.0,3186796310.64,5.19,32.01,30.5,30.5,29.1,1.03,30.36,498.19,6.02,16788813825.0,10671703722.0,0.0,0.0,89.52,115.41
53,601700,风范股份,6.16,10.0,0.56,165960.0,102231606.0,0.0,6.16,6.16,6.16,5.6,0.59,1.45,246.59,2.75,7036239672.0,7036239672.0,0.0,0.0,25.97,37.5
54,600737,中粮糖业,18.49,9.99,1.68,661769.0,1199018879.0,10.23,18.49,16.77,16.77,16.81,1.89,3.09,36.39,3.51,39547303736.0,39547303736.0,0.0,0.0,9.93,88.67
55,001331,胜通能源,17.85,9.98,1.62,3199.0,5710232.85,0.0,17.85,17.85,17.85,16.23,0.05,0.19,85.11,3.33,5037984000.0,2996580870.0,0.0,0.0,41.78,127.1
56,002471,中超控股,5.84,9.98,0.53,344263.0,201049399.28,0.0,5.84,5.84,5.84,5.31,0.31,2.57,-239.98,4.58,7993558400.0,7813203216.0,0.0,0.0,24.52,113.92
57,600936,广西广电,4.52,9.98,0.41,2472746.0,1098873873.0,8.27,4.52,4.18,4.18,4.11,5.67,14.8,-16.46,7.74,7553038600.0,7553038600.0,0.0,0.0,17.71,56.94
58,001208,华菱线缆,17.97,9.98,1.63,78312.0,140726664.0,0.0,17.97,17.97,17.97,16.34,0.23,2.97,93.35,3.96,11471157263.0,4733257514.0,0.0,0.0,41.72,99.22
59,001318,阳光乳业,16.21,9.97,1.47,75408.0,119838291.3,7.87,16.21,15.05,15.05,14.74,0.5,2.67,39.32,3.18,4581918600.0,4581918600.0,0.0,0.0,8.87,44.86
60,600135,乐凯胶片,9.49,9.97,0.86,329587.0,306652895.0,11.24,9.49,8.52,8.52,8.63,0.67,5.96,-45.59,2.2,5250884370.0,5250884370.0,0.0,0.0,24.38,44.01
61,603311,金海高科,12.9,9.97,1.17,63878.0,79798286.0,10.57,12.9,11.66,11.66,11.73,1.88,2.71,29.81,2.21,3042902400.0,3042902400.0,0.0,0.0,16.01,30.7
62,000061,农 产 品,10.15,9.97,0.92,281416.0,279078417.17,10.08,10.15,9.22,9.25,9.23,1.4,1.66,57.27,2.4,20147356160.0,17223870011.0,0.0,0.0,9.61,46.25
63,002187,广百股份,7.51,9.96,0.68,568750.0,413753919.93,9.08,7.51,6.89,6.89,6.83,0.81,8.11,-127.36,1.3,5263718694.0,5263718694.0,0.0,0.0,9.96,6.68
64,600232,金鹰股份,7.73,9.96,0.7,509621.0,371210938.0,15.22,7.73,6.66,7.2,7.03,3.79,13.97,251.09,3.0,2819274345.0,2819274345.0,0.0,0.0,14.18,50.68
65,002115,三维通信,12.14,9.96,1.1,1728124.0,2040774862.32,12.5,12.14,10.76,10.94,11.04,2.72,22.97,2570.4,4.75,9845434770.0,9131653758.0,0.0,0.0,-10.27,82.56
66,603601,再升科技,9.27,9.96,0.84,3635843.0,3288328898.0,9.13,9.27,8.5,8.84,8.43,3.9,35.29,88.15,4.23,9549609684.0,9549609684.0,0.0,0.11,72.95,178.38
67,000536,华映科技,5.52,9.96,0.5,1661968.0,917247774.56,1.0,5.52,5.47,5.52,5.02,0.46,6.01,-15.87,26.7,15268501073.0,15252215488.0,0.0,0.0,9.09,22.39
68,002682,龙洲股份,11.93,9.95,1.08,2832269.0,3094977896.73,17.88,11.94,10.0,10.38,10.85,1.43,50.36,-52.61,6.23,6709057326.0,6708957114.0,-0.08,4.19,158.79,182.03
69,000825,太钢不锈,4.86,9.95,0.44,1426418.0,686090166.6,9.5,4.86,4.44,4.46,4.42,1.77,2.5,36.55,0.84,27683764289.0,27683764289.0,0.0,0.0,20.0,39.66
70,002307,北新路桥,5.75,9.94,0.52,1076577.0,605666848.3,6.12,5.75,5.43,5.57,5.23,1.27,8.49,-55.7,2.47,7292676597.0,7292676597.0,0.0,0.0,19.79,55.41
71,601828,美凯龙,2.88,9.92,0.26,980585.0,268514388.0,11.45,2.88,2.58,2.58,2.62,0.86,2.71,-2.99,0.29,12541630098.0,10406727472.0,0.0,0.0,-4.64,-10.28
72,000850,华茂股份,4.77,9.91,0.43,522122.0,243444689.73,10.83,4.77,4.3,4.33,4.34,3.94,5.53,19.67,0.99,4501282093.0,4500003113.0,0.0,0.0,5.3,18.36
